station,platform,gate_id,train,train_type,operator,destination,status,door_state,sensor_temp,sensor_vib,people,capacity,occupancy_rate,eta,delay,platform_length,door_position,sync_score,maintenance_status,risk_score,signal_status,track_number,last_maintenance,power_consumption,humidity,door_motor_current,connection_line
Berlin Hauptbahnhof,A,G01,ICE 574,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.5,0.2,47,800,5.9,2,0,420,middle,97,OPTIMAL,12,green,4,2024-03-15,45.2,58,1.8,U5
Berlin Hauptbahnhof,A,G02,S7,S-Bahn,S-Bahn Berlin,Potsdam Hbf,arrived,open,26.1,0.8,28,320,8.8,0,2,380,left,91,MONITOR,28,green,1,2024-03-20,28.5,62,2.1,U5
Berlin Hauptbahnhof,A,G03,RE 3312,Regional,DB Regio,Brandenburg(tip),departed,closed,23.8,0.1,12,200,6.0,0,0,360,right,100,OPTIMAL,5,green,3,2024-03-18,18.3,55,1.2,S3
Berlin Hauptbahnhof,A,G04,,Intercity,DB Fernverkehr,Hamburg Hbf,clear,closed,23.5,0.0,0,400,0.0,0,0,420,middle,100,OPTIMAL,2,green,5,2024-03-19,12.7,50,0.9,U6
Berlin Hauptbahnhof,B,G01,ICE 891,Higher Speed,DB Fernverkehr,Frankfurt(Main)Hbf,approaching,closing,25.0,0.3,3,800,0.4,8,2,420,left,94,OPTIMAL,15,green,4,2024-03-14,38.9,60,1.6,U5
Berlin Hauptbahnhof,B,G02,,S-Bahn,S-Bahn Berlin,Spandau,clear,closed,23.9,0.0,0,320,0.0,0,0,380,right,100,OPTIMAL,0,green,2,2024-03-22,8.4,52,0.8,U7
Berlin Hauptbahnhof,B,G03,S5,S-Bahn,S-Bahn Berlin,Strausberg Nord,departed,closed,24.1,0.1,5,320,1.6,0,3,380,middle,99,OPTIMAL,6,green,1,2024-03-21,15.2,54,1.0,U5
Berlin Hauptbahnhof,B,G04,ICE 1125,Higher Speed,DB Fernverkehr,Köln Hbf,approaching,closing,25.4,0.4,12,800,1.5,4,-1,420,middle,92,MONITOR,18,yellow,6,2024-03-17,41.5,63,2.3,U6
Munchen Hauptbahnhof,A,G01,ICE 102,Higher Speed,DB Fernverkehr,Hamburg Hbf,approaching,closing,24.2,0.2,33,800,4.1,3,0,420,left,98,OPTIMAL,10,green,3,2024-03-16,35.6,57,1.5,U5
Munchen Hauptbahnhof,A,G02,RE 5,Regional,DB Regio,Augsburg Hbf,arrived,open,27.5,1.2,15,200,7.5,0,5,360,right,85,WARNING,33,yellow,2,2024-03-10,22.4,68,2.8,U4
Munchen Hauptbahnhof,A,G03,S3,S-Bahn,S-Bahn München,Erding,arrived,jammed,48.2,5.5,40,320,12.5,0,0,380,middle,42,CRITICAL,76,red,1,2024-03-08,67.8,75,4.2,U2
Munchen Hauptbahnhof,B,G01,ICE 202,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,closing,24.0,0.2,5,800,0.6,10,-2,420,left,99,OPTIMAL,8,green,4,2024-03-13,30.1,56,1.4,U5
Munchen Hauptbahnhof,B,G02,,S-Bahn,S-Bahn München,Garching,clear,closed,23.6,0.0,0,320,0.0,0,0,380,right,100,OPTIMAL,0,green,5,2024-03-22,9.8,51,0.7,U3
Munchen Hauptbahnhof,B,G03,RE 12,Regional,DB Regio,Landshut(Bay),departed,closed,24.3,0.1,8,200,4.0,0,8,360,middle,97,OPTIMAL,7,green,2,2024-03-19,17.2,55,1.1,U4
Hamburg Hauptbahnhof,A,G01,ICE 700,Higher Speed,DB Fernverkehr,Köln Hbf,departed,closed,23.9,0.1,55,800,6.9,0,0,420,left,99,OPTIMAL,4,green,8,2024-03-17,32.5,58,1.3,U5
Hamburg Hauptbahnhof,A,G02,RE 220,Regional,DB Regio,Bremen Hbf,approaching,closing,25.5,0.4,40,200,20.0,5,3,360,right,89,MONITOR,30,green,3,2024-03-11,26.8,62,2.4,U4
Hamburg Hauptbahnhof,A,G03,,ICE,DB Fernverkehr,Berlin Hbf,clear,closed,23.4,0.0,0,800,0.0,0,0,420,middle,100,OPTIMAL,1,green,9,2024-03-21,14.3,53,0.8,U6
Hamburg Hauptbahnhof,B,G01,S1,S-Bahn,S-Bahn Hamburg,Poppenbüttel,arrived,open,26.0,0.9,20,320,6.3,0,4,380,left,83,WARNING,36,green,1,2024-03-09,21.9,64,2.6,U3
Hamburg Hauptbahnhof,B,G02,,S-Bahn,S-Bahn Hamburg,Neugraben,clear,closed,23.4,0.0,0,320,0.0,0,0,380,right,100,OPTIMAL,0,green,4,2024-03-22,7.2,50,0.6,U4
Hamburg Hauptbahnhof,B,G03,ICE 75,Higher Speed,DB Fernverkehr,München Hbf,departed,closed,23.7,0.1,30,800,3.8,0,12,420,middle,98,OPTIMAL,5,green,10,2024-03-18,28.4,57,1.2,U5
Frankfurt (Main) Hbf,A,G01,ICE 11,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.8,0.3,60,800,7.5,4,0,420,left,95,OPTIMAL,13,green,12,2024-03-16,39.8,59,1.7,U5
Frankfurt (Main) Hbf,A,G02,RE 40,Regional,DB Regio,Mainz Hbf,arrived,open,26.8,1.1,15,200,7.5,0,2,360,right,84,WARNING,32,yellow,3,2024-03-14,24.1,65,2.7,U4
