station,platform,gate_id,train,train_type,operator,destination,status,door_state,sensor_temp,sensor_vib,people,capacity,occupancy_rate,eta,delay,platform_length,door_position,sync_score,maintenance_status,risk_score,signal_status,track_number,last_maintenance,power_consumption,humidity,door_motor_current,connection_line
Berlin Hbf,A,G01,ICE 574,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.5,0.2,47,800,5.9,2,0,420,middle,97,OPTIMAL,12,green,4,2024-03-15,45.2,58,1.8,U5
Berlin Hbf,A,G02,S7,S-Bahn,S-Bahn Berlin,Potsdam Hbf,arrived,open,26.1,0.8,28,320,8.8,0,2,380,left,91,MONITOR,28,green,1,2024-03-20,28.5,62,2.1,U5
Berlin Hbf,A,G03,RE 3312,Regional,DB Regio,Brandenburg(tip),departed,closed,23.8,0.1,12,200,6.0,0,0,360,right,100,OPTIMAL,5,green,3,2024-03-18,18.3,55,1.2,S3
Berlin Hbf,A,G04,,Intercity,DB Fernverkehr,Hamburg Hbf,clear,closed,23.5,0.0,0,400,0.0,0,0,420,middle,100,OPTIMAL,2,green,5,2024-03-19,12.7,50,0.9,U6
Berlin Hbf,B,G01,ICE 891,Higher Speed,DB Fernverkehr,Frankfurt(Main)Hbf,approaching,closing,25.0,0.3,3,800,0.4,8,2,420,left,94,OPTIMAL,15,green,4,2024-03-14,38.9,60,1.6,U5
Berlin Hbf,B,G02,,S-Bahn,S-Bahn Berlin,Spandau,clear,closed,23.9,0.0,0,320,0.0,0,0,380,right,100,OPTIMAL,0,green,2,2024-03-22,8.4,52,0.8,U7
Berlin Hbf,B,G03,S5,S-Bahn,S-Bahn Berlin,Strausberg Nord,departed,closed,24.1,0.1,5,320,1.6,0,3,380,middle,99,OPTIMAL,6,green,1,2024-03-21,15.2,54,1.0,U5
Berlin Hbf,B,G04,ICE 1125,Higher Speed,DB Fernverkehr,Köln Hbf,approaching,closing,25.4,0.4,12,800,1.5,4,-1,420,middle,92,MONITOR,18,yellow,6,2024-03-17,41.5,63,2.3,U6
München Hbf,A,G01,ICE 102,Higher Speed,DB Fernverkehr,Hamburg Hbf,approaching,closing,24.2,0.2,33,800,4.1,3,0,420,left,98,OPTIMAL,10,green,3,2024-03-16,35.6,57,1.5,U5
München Hbf,A,G02,RE 5,Regional,DB Regio,Augsburg Hbf,arrived,open,27.5,1.2,15,200,7.5,0,5,360,right,85,WARNING,33,yellow,2,2024-03-10,22.4,68,2.8,U4
